,generator_name,activations_time,fid,fid_time,kid,kid_time,precision,recall,f1_pr,precision_time,recall_time,f1_pr_time,density,coverage,f1_dc,density_time,coverage_time,f1_dc_time,mmd_rbf,mmd_rbf_time,mmd_linear,mmd_linear_time,nspdk_mmd,nspdk_mmd_time,wl_mmd,wl_mmd_time,valid,unique@1000,unique@10000,FCD/Test,SNN/Test,Frag/Test,FCD/TestSF,SNN/TestSF,Frag/TestSF,IntDiv,IntDiv2,Filters,logP,SA,QED,weight,Novelty,AUC_ROC_based_metric_with_nspdk,AUC_ROC_based_metric_with_nspdk_time,dataset
24,wgan,0.41600656509399414,4348.605241950972,0.4210069179534912,9143638.0,0.4900085926055908,0.891588785046729,0.208955223880597,0.33857756244554954,0.5980043411254883,0.5980043411254883,0.5980043411254883,0.497196261682243,0.08641005498821681,0.14724693266128727,0.5300090312957764,0.5300090312957764,0.5300090312957764,0.528490424156189,1.0125672817230225,183.1791,0.41600656509399414,0.23220627031987134,8.738443374633789,0.9244212334964776,1.0249409675598145,1.0,0.399,0.3841121495327103,1.2154708317039302,0.7766210529848794,0.7687596909446436,51.51010865383906,0.05669826116308431,0.0,0.7844171890452164,0.6604856441503204,0.5644859813084112,5.279650042727828,0.5065851792156181,0.06971967796467833,169.3902222250773,1.0,0.0,33.56559777259827,ames_25
25,wgan,1.0150055885314941,2067.25891951483,1.0260043144226074,138863.9,1.114008903503418,0.7612456747404844,0.071849234393404,0.13132222065586424,1.4010069370269775,1.4010069370269775,1.4010069370269775,0.296885813148789,0.01884570082449941,0.03545939373867029,1.3140106201171875,1.3140106201171875,1.3140106201171875,0.3501819372177124,1.4400060176849365,638.184,1.0160048007965088,0.23311194232422894,12.519360542297363,0.7396667366638311,1.1279730796813965,1.0,0.5916955017301038,0.5916955017301038,2.9627464073774883,0.5027269799404078,0.11811507970662716,51.667397077461445,0.06287769571101377,0.0,0.8133058475809486,0.6922497780947363,0.42560553633217996,5.398559099856946,0.4008302263184525,0.038309868710335496,82.49760031545354,1.0,0.20072226382521788,40.362056732177734,ames_33
26,wgan,0.7455220222473145,607.2415329130247,0.754523515701294,17798.357,0.838519811630249,0.7084078711985689,0.4081532416502947,0.5179205190273484,1.1385700702667236,1.1385700702667236,1.1385700702667236,0.3559928443649374,0.05108055009823183,0.08935728951890627,1.0064833164215088,1.0064833164215088,1.0064833164215088,0.5349512100219727,1.6724815368652344,111.3733,0.7455220222473145,0.26551995258679245,12.996685266494751,0.6926132980319448,1.714163064956665,1.0,0.172,0.1592128801431127,1.6461277253790665,0.7914728702678521,0.8766755457519838,51.37083705757428,0.052903825327194225,0.0,0.6851722307277589,0.5353771389548961,0.8491353607632678,5.696903606871191,0.3966927856609493,0.08125854930988471,197.6327849074442,1.0,0.0,46.21373414993286,ames_40
27,wgan,1.3027617931365967,147.83359412834193,1.337355613708496,15.305192,1.5094349384307861,0.8575827559661278,0.1303494307027876,0.22631723468221673,2.049861431121826,2.049861431121826,2.049861431121826,0.4657428791377983,0.03690616411464468,0.06841006007399748,1.7107665538787842,1.7107665538787842,1.7107665538787842,0.5241354703903198,2.319441318511963,91.08185,1.3027617931365967,0.27961080981672676,16.429136514663696,0.6579594058732463,2.0286409854888916,1.0,0.218,0.18475750577367206,1.2625052448318839,0.8239286673169948,0.910867050710465,51.778648903853714,0.051952019391195696,0.0,0.6443932931715429,0.5432973365760003,0.6150885296381832,4.975199760167059,0.7622357526059533,0.06218953122406637,180.49623217823626,1.0,0.0,45.51188921928406,ames_50
28,wgan,0.09600162506103516,670.2145368713594,0.1000053882598877,1748.065,0.11799955368041992,0.38345864661654133,0.008450704225352112,0.01655612059545621,0.14700102806091309,0.14700102806091309,0.14700102806091309,0.11729323308270677,0.016901408450704224,0.02956105033825214,0.13100218772888184,0.13100218772888184,0.13100218772888184,0.6139137148857117,0.1659996509552002,293.9263,0.09700298309326172,0.41617568364219953,3.4711151123046875,1.199731687017834,0.2440929412841797,1.0,0.3458646616541353,0.3458646616541353,1.7139499396588482,0.43800573140606847,0.4889791225415374,53.25916062276941,0.05971657994546389,0.0,0.6693518577311293,0.5438439361950717,0.12030075187969924,10.309454203113415,1.0528211155295777,0.06485924566798842,305.42730706343326,1.0,0.24600373676562115,11.236077308654785,bbb_martins_25
29,wgan,0.2785682678222656,564.3108265207834,0.2966792583465576,1658.3936,0.32155466079711914,0.6946564885496184,0.0824524312896406,0.14742441342444798,0.7426714897155762,0.7426714897155762,0.7426714897155762,0.3969465648854962,0.03171247357293869,0.05874998779724869,0.3615586757659912,0.3615586757659912,0.3615586757659912,0.5896989107131958,0.40457892417907715,218.99516,0.2795593738555908,0.3000232440311404,8.226846694946289,1.0762302196005606,0.3005955219268799,1.0,0.7709923664122137,0.7709923664122137,2.140932623913865,0.514167578962013,0.3257504441098955,51.572198151716464,0.05854012780175864,0.0,0.7747575656829073,0.6820875101212268,0.2824427480916031,9.149749360101993,0.72346075389014,0.02862991391798853,266.0242038313188,1.0,0.0,20.00822925567627,bbb_martins_33
30,wgan,0.20900225639343262,32319054.800511166,0.21500492095947266,6.4252117e+18,0.24500536918640137,0.6820175438596491,0.05457746478873239,0.10108443107532665,0.30406689643859863,0.30406689643859863,0.30406689643859863,0.39605263157894743,0.0528169014084507,0.0932200911469235,0.26055455207824707,0.26055455207824707,0.26055455207824707,0.08680391311645508,0.39400482177734375,456734.1,0.20900225639343262,0.24670133805063668,7.21448278427124,0.862631390164275,0.546004056930542,1.0,0.5372807017543859,0.5372807017543859,2.3044468618637084,0.5164630383645233,0.4770917028632389,51.56626103466524,0.052636986573863974,0.0,0.8402404339451466,0.7061099415008394,0.4517543859649123,9.964898789226584,0.6656073351454005,0.04125444002994087,273.6017224178404,1.0,0.0,22.359024047851562,bbb_martins_40
31,wgan,0.2945282459259033,657.5164296639878,0.30155348777770996,7547.325,0.3385281562805176,0.8260869565217391,0.03943661971830986,0.0752977282459286,0.38252902030944824,0.38252902030944824,0.38252902030944824,0.4725752508361204,0.03943661971830986,0.07281535289601798,0.3675374984741211,0.3675374984741211,0.3675374984741211,0.6782185733318329,0.4735274314880371,218.43797,0.2945282459259033,0.27266252951528896,10.565624952316284,0.935164961906952,0.9980597496032715,1.0,0.36789297658862874,0.36789297658862874,3.269691494093429,0.5532091145332043,0.725528820245964,51.85515385213498,0.05085958405880625,0.0,0.8010313088133226,0.6561069908833305,0.5936454849498328,8.376297580196898,0.5158202045508923,0.048028028640451206,278.6547846813322,1.0,0.0,23.44384217262268,bbb_martins_50
32,wgan,0.6460142135620117,8288353.727626482,0.6570014953613281,7.855576e+17,0.7370169162750244,0.20893561103810776,0.009545454545454546,0.01827515379309038,1.0532238483428955,1.0532238483428955,1.0532238483428955,0.042706964520367936,0.003181818181818182,0.005939812645988542,0.9839868545532227,0.9839868545532227,0.9839868545532227,0.2281562089920044,1.599015712738037,29606.61,0.6460142135620117,0.6138903605739058,33.462037563323975,0.9810723371724239,3.2633755207061768,1.0,0.034,0.1038107752956636,3.298972008883647,0.35349478486450525,0.02896271608372758,53.024373015151056,0.042521547653397815,0.0,0.5647360082587616,0.390156783710388,0.6005256241787122,10.296111392485962,0.6022040681196882,0.06408744575509795,248.06961217895122,1.0,0.10034202137141372,72.11893057823181,cyp1a2_veith_25
33,wgan,0.9364309310913086,86946948.18217678,0.9474265575408936,1.1776934e+20,1.075434684753418,0.3585503166783955,0.03783231083844581,0.0684594400550432,1.842933177947998,1.842933177947998,1.842933177947998,0.1465165376495426,0.005794137695978187,0.011165974268857393,1.5083956718444824,1.5083956718444824,1.5083956718444824,0.08995497226715088,2.991581678390503,709546.4,0.9374327659606934,0.3109382587924462,56.16401267051697,0.5924118070401831,5.423978567123413,1.0,0.065,0.21428571428571427,7.280272722925042,0.3471565991430363,1.0,54.29116374907142,0.053193545240298026,0.0,0.6995736573378347,0.5301272358309089,0.38986629134412387,9.696671716491405,0.31836695161031253,0.048205105355040835,328.43662769912993,1.0,0.0,87.52712202072144,cyp1a2_veith_33
