,dataset,generator,metric_name,value
82,bbb_martins_40,hiervae,unlabelled_graph_cycle_distance,38.89005691313655
83,bbb_martins_40,hiervae,unlabelled_graph_cycle_distance_time,42.54606294631958
84,bbb_martins_40,hiervae,cycle_distance,50.78513066997708
85,bbb_martins_40,hiervae,cycle_distance_time,32.826141595840454
86,bbb_martins_40,hiervae,neighborhood_distance,7.2604479754844355
87,bbb_martins_40,hiervae,neighborhood_distance_time,24.498395204544067
88,bbb_martins_40,hiervae,neighborhood_distance_r=2,41.340594603551345
89,bbb_martins_40,hiervae,neighborhood_distance_r=2_time,32.68660020828247
90,bbb_martins_50,hiervae,node_edge_distance,29.415052032043523
91,bbb_martins_50,hiervae,node_edge_distance_time,23.033620595932007
92,bbb_martins_50,hiervae,unlabelled_graph_cycle_distance,151.47816463321868
93,bbb_martins_50,hiervae,unlabelled_graph_cycle_distance_time,25.031498908996582
94,bbb_martins_50,hiervae,cycle_distance,141.24417280857745
95,bbb_martins_50,hiervae,cycle_distance_time,24.493152379989624
96,bbb_martins_50,hiervae,neighborhood_distance,13.778692798545775
97,bbb_martins_50,hiervae,neighborhood_distance_time,23.567674160003662
98,bbb_martins_50,hiervae,neighborhood_distance_r=2,143.78878393033574
99,bbb_martins_50,hiervae,neighborhood_distance_r=2_time,25.969687938690186
100,cyp1a2_veith_25,hiervae,node_edge_distance,80.01787697257366
101,cyp1a2_veith_25,hiervae,node_edge_distance_time,17.55116367340088
102,cyp1a2_veith_25,hiervae,unlabelled_graph_cycle_distance,35.17788257256297
103,cyp1a2_veith_25,hiervae,unlabelled_graph_cycle_distance_time,12.420667886734009
104,cyp1a2_veith_25,hiervae,cycle_distance,318.1295061285082
105,cyp1a2_veith_25,hiervae,cycle_distance_time,14.81484079360962
106,cyp1a2_veith_25,hiervae,neighborhood_distance,582.5441180162243
107,cyp1a2_veith_25,hiervae,neighborhood_distance_time,20.123404502868652
108,cyp1a2_veith_25,hiervae,neighborhood_distance_r=2,118.04162774619098
109,cyp1a2_veith_25,hiervae,neighborhood_distance_r=2_time,23.63305926322937
110,cyp1a2_veith_33,hiervae,node_edge_distance,335.5710642852739
111,cyp1a2_veith_33,hiervae,node_edge_distance_time,40.999374866485596
112,cyp1a2_veith_33,hiervae,unlabelled_graph_cycle_distance,412.4545443829411
113,cyp1a2_veith_33,hiervae,unlabelled_graph_cycle_distance_time,31.27200436592102
114,cyp1a2_veith_33,hiervae,cycle_distance,294.59098287638164
115,cyp1a2_veith_33,hiervae,cycle_distance_time,29.496615171432495
116,cyp1a2_veith_33,hiervae,neighborhood_distance,196.70601774201856
117,cyp1a2_veith_33,hiervae,neighborhood_distance_time,33.3616898059845
118,cyp1a2_veith_33,hiervae,neighborhood_distance_r=2,409.94489451298625
119,cyp1a2_veith_33,hiervae,neighborhood_distance_r=2_time,54.17596411705017
120,cyp1a2_veith_40,hiervae,node_edge_distance,46.4806344898822
121,cyp1a2_veith_40,hiervae,node_edge_distance_time,158.57335829734802
122,cyp1a2_veith_40,hiervae,unlabelled_graph_cycle_distance,333.807542798824
123,cyp1a2_veith_40,hiervae,unlabelled_graph_cycle_distance_time,223.18103218078613
124,cyp1a2_veith_40,hiervae,cycle_distance,423.3598553020664
